*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*
Algorithm: CMA-ES
Constrainth handling method: APM
Function: 25
Case: continuous
Seed: 22
Parents size: 10
Offsprings size: 5
maxFe: 35000
CR: -
F: -
rweights: Superlinear
*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*---*
ngen ObjectiveFunction Fitness ProjectVariables
10 31714.770004466987 63156.537259385936 1 30 2.4 45 2.4 45 1.371590001488996 30 1 30
20 54600.0 91825.42330407382 5 30 2.4 45 2.4 45 5 30 1 30
30 66600.0 86953.68984230745 5 30 2.4 45 2.4 45 5 30 5 30
40 82700.0 82772.4589693904 5 65 3.1 60 3.1 60 1 65 1 65
50 82700.0 82812.35224024775 5 65 3.1 60 3.1 60 1 65 1 65
60 78500.0 103853.23360251123 1 65 3.1 60 2.4 60 5 65 1 65
70 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
80 65550.0 77427.51616866107 5 30 3.1 60 3.1 45 5 30 1 30
90 82700.0 82755.86518391782 5 65 3.1 60 3.1 60 1 65 1 65
100 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
110 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
120 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
130 82700.0 82755.03124336383 5 65 3.1 60 3.1 60 1 65 1 65
140 104500.0 104500.04241844043 5 65 2.4 60 3.1 60 5 65 1 65
150 69750.0 88711.63952369073 5 30 3.1 45 2.4 45 5 30 5 30
160 100300.0 100300.00391215808 5 65 2.4 60 2.4 60 5 65 1 65
170 56700.0 80566.09025480194 1 65 3.1 60 3.1 60 1 65 1 65
180 78500.0 78586.61380893164 5 65 3.1 60 2.4 60 1 65 1 65
190 54600.0 90380.0815452241 5 30 2.4 45 2.4 45 5 30 1 30
200 78500.0 96251.44107087652 1 65 2.4 60 3.1 60 1 65 5 65
210 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
220 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
230 54600.0 81999.61601181354 5 30 2.4 45 2.4 45 5 30 1 30
240 95050.0 96237.73914443771 5 65 3.1 45 3.1 60 5 30 5 30
250 74300.0 74341.11636627764 5 65 2.4 60 2.4 60 1 65 1 65
260 74300.0 80840.64839060813 5 65 2.4 60 2.4 60 1 65 1 65
270 134700.0 134700.0 5 65 3.1 60 3.1 60 5 65 5 65
280 87250.0 88244.9517031262 5 65 3.1 45 2.4 45 5 30 5 30
290 52500.0 77185.30738553988 1 65 3.1 60 2.4 60 1 65 1 65
